Exercise - Legs,29-05-2022,30-05-2022,31-05-2022,01-06-2022,02-06-2022,03-06-2022,04-06-2022,05-06-2022,06-06-2022,07-06-2022,08-06-2022,09-06-2022,10-06-2022,11-06-2022,12-06-2022,13-06-2022,14-06-2022,15-06-2022,16-06-2022,17-06-2022,18-06-2022,19-06-2022,20-06-2022,21-06-2022,22-06-2022,23-06-2022,24-06-2022,25-06-2022,26-06-2022,27-06-2022,28-06-2022,29-06-2022,30-06-2022,01-07-2022,02-07-2022,03-07-2022,04-07-2022,05-07-2022,06-07-2022,07-07-2022,08-07-2022,09-07-2022,10-07-2022,11-07-2022,12-07-2022,13-07-2022,14-07-2022,15-07-2022,16-07-2022,17-07-2022,18-07-2022,19-07-2022,20-07-2022,21-07-2022,22-07-2022,23-07-2022,24-07-2022,25-07-2022,26-07-2022,27-07-2022,28-07-2022,29-07-2022,30-07-2022,31-07-2022,01-08-2022,02-08-2022,03-08-2022,04-08-2022,05-08-2022,06-08-2022,07-08-2022,08-08-2022,09-08-2022,10-08-2022,11-08-2022,12-08-2022,13-08-2022,14-08-2022,15-08-2022,16-08-2022,17-08-2022,18-08-2022,19-08-2022,20-08-2022,21-08-2022,22-08-2022,23-08-2022,24-08-2022,25-08-2022,26-08-2022,27-08-2022,28-08-2022,29-08-2022,30-08-2022,31-08-2022,01-09-2022,02-09-2022,03-09-2022,04-09-2022,05-09-2022,06-09-2022,07-09-2022,08-09-2022,09-09-2022,10-09-2022,11-09-2022,12-09-2022,13-09-2022,14-09-2022,15-09-2022,16-09-2022,17-09-2022,18-09-2022,19-09-2022,20-09-2022,21-09-2022,22-09-2022,23-09-2022,24-09-2022,25-09-2022,26-09-2022,27-09-2022,28-09-2022,29-09-2022,30-09-2022,01-10-2022,02-10-2022,03-10-2022,04-10-2022,05-10-2022,06-10-2022,07-10-2022,08-10-2022,09-10-2022,10-10-2022,11-10-2022,12-10-2022,13-10-2022,14-10-2022,15-10-2022,16-10-2022,17-10-2022,18-10-2022,19-10-2022,20-10-2022,21-10-2022,22-10-2022,23-10-2022,24-10-2022,25-10-2022,26-10-2022,27-10-2022,28-10-2022,29-10-2022,30-10-2022,31-10-2022,01-11-2022,02-11-2022,03-11-2022,04-11-2022,05-11-2022,06-11-2022,07-11-2022,08-11-2022,09-11-2022,10-11-2022,11-11-2022,12-11-2022,13-11-2022,14-11-2022,15-11-2022,16-11-2022,17-11-2022,18-11-2022,19-11-2022,20-11-2022,21-11-2022,22-11-2022,23-11-2022,24-11-2022,25-11-2022,26-11-2022,27-11-2022,28-11-2022,29-11-2022,30-11-2022,01-12-2022,02-12-2022,03-12-2022,04-12-2022,05-12-2022,06-12-2022,07-12-2022,08-12-2022,09-12-2022,10-12-2022,11-12-2022,12-12-2022,13-12-2022,14-12-2022,15-12-2022,16-12-2022,17-12-2022,18-12-2022,19-12-2022,20-12-2022,21-12-2022,22-12-2022,23-12-2022,24-12-2022,25-12-2022,26-12-2022
Squats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,8,155]",,,,,,,,,,,"[3,6,165]",,,,,,,"[3,8,170]",,,,"[3,6,185]",,,,,,,,,"[3,8,185]",,,,,,,"[3,8,185]",,,,"[3,8,155]",,,,,,,,,,,,,,,,"[3,8,185]",,,,,"[3,8,185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,4,185]",,,,,,,,,,"[3,4,185]",,,,"[3,8,185]",,,,"[3,4,205]",,,,"[3,6,205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,6,195]",,,,,,,,,,,,
Hack Squat,,,,,"[3,8,270]",,,"[3,9,270]",,,,"[3,10,270]",,,"[3,8,280]",,,,"[3,9,280]",,,"[3,10,280]",,,,"[3,8,290]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Press,,,,,,,,"[3,8,360]",,,,,,,"[3,10,360]",,,,,,,"[3,6,380]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incline Leg Press,,,,,"[3,8,275]",,,,,,,"[3,9,275]",,,,,,,"[3,10,275]",,,,,,,"[3,8,290]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian Split Squad,,,,,,,,,,,,,,,,,,,,,,"[3,9,190]",,,,,,,,,,,,,,,,,"[3,4,20]",,,,,,,,,,,"[3,6,10]",,,,,,,"[3,6,10]",,,,"[3,6,20]",,,,,,,,,"[3,4,20]",,,,,,,"[3,5,20]",,,,"[3,5,20]",,,,,,,,,,,,,,,,"[3,5,20]",,,,,"[3,6,20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,6,20]",,,,,,,,,,"[3,6,20]",,,,"[3,6,20]",,,,"[3,8,25]",,,,"[3,8,25]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,8,25]",,,,,,,,,,,,
Barbell Hip Thrust,,,,,,,,"[3,10,180]",,,,,,,"[3,8,190]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,8,135]",,,,"[3,8,185]",,,,,,,,,,,,,,,,"[3,14,185]",,,,"[3,14,155]",,,,,,,,,,,,,,,,"[3,14,155]",,,,,"[3,6,185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,6,185]",,,,,,,,,,"[3,6,185]",,,,"[3,8,185]",,,,"[3,8,185]",,,,"[3,8,185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,8,185]",,,,,,,,,,,,
Hip Adduction,,,,,"[3,10,150]",,,,,,,"[3,6,200]",,,,,,,"[3,8,200]",,,,,,,"[3,10,200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Abduction,,,,,"[3,8,155]",,,,,,,"[3,9,155]",,,,,,,"[3,10,155]",,,,,,,"[3,8,165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legs Extensions,,,,,"[3,10,125]",,,,,,,"[3,11,125]",,,,,,,"[3,12,125]",,,,,,,"[3,10,140]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,12,160]",,,,"[3,14,160]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Leg Extension,,,,,,,,"[3,10,80]",,,,,,,"[3,11,80]",,,,,,,"[3,12,70]",,,,,,,,,,,,,,,,,"[3,12,80]",,,,,,,,,,,"[3,8,90]",,,,,,,,,,,,,,,,,,,,"[3,12,80]",,,,,,,"[3,12,80]",,,,"[3,13,80]",,,,,,,,,,,,,,,,"[3,13,80]",,,,,"[3,13,80]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,13,80]",,,,,,,,,,"[3,13,80]",,,,"[3,13,80]",,,,"[3,13,80]",,,,"[3,13,80]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,13,80]",,,,,,,,,,,,
